title,description,category,resolution,priority,request_type
mfa otp case,noticed that mfa otp unstable; active directory failing in one department; mfa otp recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
account locked ticket,monitoring flagged account locked flapping; role assignment degraded during the night shift; account locked stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync report,we are seeing ldap sync degraded; mfa otp failing at multiple sites; ldap sync intermittent,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
group membership request,ongoing group membership delayed; permission denied flapping across several users; group membership degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync fault,ldap sync flapping; group membership degraded during the night shift; ldap sync erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta issue,users report okta unresponsive; saml assertion delayed at multiple sites; okta recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
permission denied request,tracking permission denied unstable; okta unresponsive after the upgrade; permission denied recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
password reset fault,monitoring flagged password reset intermittent; okta unstable at multiple sites; password reset stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
permission denied fault,escalated because permission denied erratic; active directory failing in a branch office; permission denied failing,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta issue,ongoing okta failing; single sign erratic during the night shift; okta unresponsive,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync alert,ldap sync recurring; okta delayed in one department; ldap sync unresponsive,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
role assignment fault,tracking role assignment degraded; permission denied unresponsive for the team; role assignment degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
single sign ticket,noticed that single sign flapping; permission denied intermittent in production; single sign recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta request,noticed that okta erratic; mfa otp unresponsive in production; okta intermittent,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion fault,saml assertion stalling; group membership failing after the upgrade; saml assertion unstable,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
account locked case,escalated because account locked unstable; role assignment flapping during the night shift; account locked delayed,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
permission denied request,escalated because permission denied degraded; password reset delayed for the team; permission denied failing,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync request,monitoring flagged ldap sync recurring; active directory stalling across several users; ldap sync flapping,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
password reset ticket,we are seeing password reset intermittent; group membership erratic across several users; password reset failing,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
mfa otp case,ongoing mfa otp stalling; okta intermittent at multiple sites; mfa otp degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion ticket,we are seeing saml assertion failing; group membership unresponsive across several users; saml assertion erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion report,escalated because saml assertion degraded; okta unresponsive in one department; saml assertion recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
permission denied case,monitoring flagged permission denied recurring; saml assertion recurring for the team; permission denied recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
user provisioning case,we are seeing user provisioning degraded; single sign unstable in a branch office; user provisioning unresponsive,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion issue,escalated because saml assertion delayed; okta recurring across several users; saml assertion unresponsive,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
active directory case,tracking active directory failing; okta stalling in a branch office; active directory flapping,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
password reset fault,password reset erratic; okta erratic at multiple sites; password reset stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
account locked report,account locked delayed; mfa otp erratic during the night shift; account locked stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion issue,tracking saml assertion recurring; ldap sync failing for the team; saml assertion intermittent,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion alert,users report saml assertion stalling; role assignment unresponsive across several users; saml assertion degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
group membership request,ongoing group membership failing; active directory recurring at multiple sites; group membership stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
password reset alert,we are seeing password reset stalling; group membership failing for the team; password reset stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
user provisioning report,users report user provisioning degraded; role assignment erratic for the team; user provisioning recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
account locked report,account locked stalling; role assignment degraded after the upgrade; account locked unstable,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
account locked fault,account locked flapping; mfa otp degraded across several users; account locked degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
mfa otp report,we are seeing mfa otp degraded; active directory recurring across several users; mfa otp flapping,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
group membership report,users report group membership flapping; active directory recurring in production; group membership recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta request,noticed that okta failing; role assignment erratic at multiple sites; okta delayed,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
password reset issue,we are seeing password reset recurring; role assignment degraded in one department; password reset recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta ticket,escalated because okta stalling; permission denied flapping in one department; okta erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion request,ongoing saml assertion failing; single sign failing during the night shift; saml assertion unstable,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
permission denied request,monitoring flagged permission denied stalling; okta unresponsive in one department; permission denied recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
group membership fault,group membership stalling; mfa otp unresponsive in one department; group membership stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
account locked fault,noticed that account locked delayed; saml assertion failing at multiple sites; account locked flapping,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion alert,escalated because saml assertion degraded; okta stalling after the upgrade; saml assertion intermittent,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
user provisioning request,ongoing user provisioning recurring; ldap sync recurring during the night shift; user provisioning stalling,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync issue,we are seeing ldap sync erratic; single sign failing across several users; ldap sync erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta case,we are seeing okta intermittent; saml assertion erratic at multiple sites; okta recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
group membership request,monitoring flagged group membership flapping; ldap sync intermittent across several users; group membership flapping,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync issue,users report ldap sync stalling; account locked failing in one department; ldap sync delayed,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
mfa otp alert,mfa otp recurring; group membership stalling at multiple sites; mfa otp failing,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion alert,noticed that saml assertion intermittent; mfa otp unresponsive at multiple sites; saml assertion unstable,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
single sign issue,single sign unstable; saml assertion unresponsive in one department; single sign degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
active directory request,ongoing active directory degraded; okta stalling after the upgrade; active directory intermittent,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion request,tracking saml assertion stalling; ldap sync unstable for the team; saml assertion delayed,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
password reset alert,tracking password reset intermittent; single sign intermittent in production; password reset delayed,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
ldap sync report,we are seeing ldap sync intermittent; user provisioning failing in a branch office; ldap sync recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
single sign alert,escalated because single sign failing; ldap sync unresponsive at multiple sites; single sign unstable,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
role assignment request,monitoring flagged role assignment erratic; password reset recurring during the night shift; role assignment degraded,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta ticket,monitoring flagged okta erratic; permission denied delayed in production; okta erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
role assignment fault,ongoing role assignment erratic; ldap sync erratic during the night shift; role assignment erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
okta case,we are seeing okta failing; user provisioning intermittent after the upgrade; okta intermittent,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion alert,monitoring flagged saml assertion unresponsive; active directory flapping in production; saml assertion flapping,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
mfa otp issue,escalated because mfa otp unstable; permission denied degraded in production; mfa otp unresponsive,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
saml assertion issue,noticed that saml assertion erratic; user provisioning delayed during the night shift; saml assertion recurring,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
group membership report,noticed that group membership flapping; role assignment stalling in a branch office; group membership erratic,Access Management,Reset credentials / unlocked the account; corrected role membership and confirmed sign-in.,Medium,Incident
suspicious login alert,users report suspicious login erratic; phishing intermittent in production; suspicious login unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware request,users report malware delayed; vulnerability delayed in a branch office; malware delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force issue,we are seeing brute force degraded; malware stalling in production; brute force failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force ticket,we are seeing brute force unresponsive; threat actor unresponsive in one department; brute force unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt ticket,noticed that exploit attempt failing; intrusion unresponsive during the night shift; exploit attempt unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login request,monitoring flagged suspicious login failing; credential theft erratic during the night shift; suspicious login delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force case,escalated because brute force intermittent; exploit attempt erratic after the upgrade; brute force intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve ticket,we are seeing cve intermittent; malware flapping after the upgrade; cve flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access issue,monitoring flagged unauthorized access stalling; intrusion unstable in a branch office; unauthorized access recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt report,tracking exploit attempt stalling; phishing stalling during the night shift; exploit attempt intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor request,threat actor delayed; suspicious login unresponsive across several users; threat actor stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware ticket,tracking ransomware recurring; exploit attempt recurring during the night shift; ransomware recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force issue,escalated because brute force delayed; suspicious login flapping for the team; brute force intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve report,users report cve unresponsive; credential theft degraded in one department; cve unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing report,users report phishing failing; credential theft unstable during the night shift; phishing intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability alert,escalated because vulnerability unresponsive; brute force delayed across several users; vulnerability degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve issue,tracking cve unstable; intrusion stalling in one department; cve flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware fault,tracking malware flapping; ransomware erratic at multiple sites; malware degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware ticket,ongoing ransomware flapping; brute force erratic at multiple sites; ransomware unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion report,monitoring flagged intrusion unresponsive; threat actor intermittent after the upgrade; intrusion failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware fault,escalated because malware intermittent; suspicious login delayed after the upgrade; malware stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access issue,noticed that unauthorized access degraded; credential theft unresponsive in a branch office; unauthorized access erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login request,monitoring flagged suspicious login unstable; credential theft flapping during the night shift; suspicious login intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access case,tracking unauthorized access unstable; suspicious login recurring across several users; unauthorized access degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force ticket,we are seeing brute force delayed; ransomware unresponsive after the upgrade; brute force degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login issue,noticed that suspicious login stalling; intrusion degraded during the night shift; suspicious login degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access ticket,escalated because unauthorized access intermittent; ransomware delayed across several users; unauthorized access failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware case,tracking malware erratic; threat actor flapping at multiple sites; malware stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login issue,noticed that suspicious login unresponsive; phishing degraded after the upgrade; suspicious login unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access issue,escalated because unauthorized access degraded; exploit attempt delayed in one department; unauthorized access intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access request,users report unauthorized access unstable; vulnerability unstable in one department; unauthorized access failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability fault,vulnerability flapping; malware unstable in a branch office; vulnerability degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware ticket,we are seeing ransomware unstable; unauthorized access intermittent after the upgrade; ransomware failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt request,ongoing exploit attempt delayed; phishing degraded after the upgrade; exploit attempt flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing issue,we are seeing phishing failing; credential theft flapping in production; phishing intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force issue,brute force failing; exploit attempt flapping in production; brute force failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force case,monitoring flagged brute force degraded; threat actor intermittent in one department; brute force degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing fault,we are seeing phishing degraded; suspicious login stalling at multiple sites; phishing stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion report,users report intrusion degraded; suspicious login intermittent in production; intrusion intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve issue,tracking cve flapping; ransomware stalling at multiple sites; cve failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access issue,unauthorized access unresponsive; brute force recurring for the team; unauthorized access stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force ticket,monitoring flagged brute force recurring; suspicious login erratic in a branch office; brute force degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware ticket,monitoring flagged malware flapping; credential theft unstable in production; malware stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor issue,escalated because threat actor stalling; unauthorized access failing during the night shift; threat actor recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion case,intrusion intermittent; threat actor delayed at multiple sites; intrusion recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing request,tracking phishing degraded; credential theft unresponsive at multiple sites; phishing intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
credential theft issue,ongoing credential theft unstable; malware stalling at multiple sites; credential theft erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware alert,escalated because ransomware failing; suspicious login intermittent in production; ransomware recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware ticket,ongoing ransomware failing; vulnerability delayed across several users; ransomware flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force ticket,brute force intermittent; cve intermittent at multiple sites; brute force delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor fault,monitoring flagged threat actor flapping; brute force delayed after the upgrade; threat actor stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor issue,threat actor erratic; phishing degraded in one department; threat actor intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
brute force issue,we are seeing brute force unstable; ransomware recurring at multiple sites; brute force delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion report,we are seeing intrusion erratic; malware unresponsive at multiple sites; intrusion unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login fault,escalated because suspicious login intermittent; ransomware unresponsive at multiple sites; suspicious login unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability issue,monitoring flagged vulnerability stalling; unauthorized access flapping after the upgrade; vulnerability flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access fault,escalated because unauthorized access recurring; suspicious login flapping across several users; unauthorized access unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login request,monitoring flagged suspicious login degraded; exploit attempt unresponsive in one department; suspicious login recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability report,tracking vulnerability unresponsive; suspicious login erratic after the upgrade; vulnerability unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware alert,we are seeing malware erratic; cve intermittent across several users; malware unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing case,tracking phishing stalling; intrusion erratic during the night shift; phishing flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt report,users report exploit attempt erratic; cve unresponsive during the night shift; exploit attempt recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing report,tracking phishing recurring; malware unstable in a branch office; phishing intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt fault,tracking exploit attempt erratic; cve stalling during the night shift; exploit attempt failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt alert,exploit attempt erratic; brute force failing in one department; exploit attempt stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability report,monitoring flagged vulnerability unstable; credential theft unresponsive across several users; vulnerability intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware case,users report malware flapping; exploit attempt flapping at multiple sites; malware recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login request,tracking suspicious login flapping; ransomware unresponsive in a branch office; suspicious login unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt request,noticed that exploit attempt degraded; suspicious login degraded in one department; exploit attempt recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability case,monitoring flagged vulnerability flapping; brute force unresponsive after the upgrade; vulnerability failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing issue,ongoing phishing flapping; malware delayed during the night shift; phishing flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware ticket,escalated because ransomware unstable; exploit attempt unstable in one department; ransomware intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion report,we are seeing intrusion recurring; malware intermittent across several users; intrusion unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt request,escalated because exploit attempt intermittent; ransomware unresponsive for the team; exploit attempt flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor issue,users report threat actor unresponsive; ransomware degraded in a branch office; threat actor flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware issue,escalated because malware recurring; cve intermittent for the team; malware erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing ticket,users report phishing failing; exploit attempt recurring at multiple sites; phishing failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion report,escalated because intrusion recurring; phishing delayed after the upgrade; intrusion unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve report,noticed that cve stalling; credential theft stalling at multiple sites; cve stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve report,noticed that cve flapping; threat actor recurring in production; cve failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware report,users report malware flapping; phishing unstable in a branch office; malware failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt ticket,tracking exploit attempt erratic; brute force recurring at multiple sites; exploit attempt erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing request,phishing stalling; threat actor failing in production; phishing stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor alert,users report threat actor recurring; unauthorized access erratic in production; threat actor flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login case,we are seeing suspicious login degraded; unauthorized access flapping in one department; suspicious login unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion request,escalated because intrusion delayed; credential theft failing for the team; intrusion unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability fault,users report vulnerability erratic; threat actor unstable after the upgrade; vulnerability erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor alert,users report threat actor intermittent; intrusion intermittent for the team; threat actor unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login alert,we are seeing suspicious login stalling; phishing flapping in a branch office; suspicious login unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor case,escalated because threat actor degraded; unauthorized access unstable for the team; threat actor delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt request,users report exploit attempt intermittent; cve recurring in production; exploit attempt recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login case,we are seeing suspicious login delayed; exploit attempt flapping in a branch office; suspicious login intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware issue,we are seeing malware degraded; vulnerability degraded for the team; malware stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
credential theft alert,credential theft stalling; cve flapping in a branch office; credential theft recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing fault,noticed that phishing intermittent; credential theft flapping in production; phishing flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor fault,users report threat actor recurring; ransomware recurring during the night shift; threat actor intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing request,ongoing phishing erratic; intrusion stalling at multiple sites; phishing unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access report,monitoring flagged unauthorized access unstable; threat actor recurring across several users; unauthorized access unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
credential theft ticket,escalated because credential theft delayed; cve degraded at multiple sites; credential theft unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access case,monitoring flagged unauthorized access flapping; vulnerability failing at multiple sites; unauthorized access stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt case,tracking exploit attempt failing; brute force unstable in a branch office; exploit attempt erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor issue,tracking threat actor delayed; ransomware flapping after the upgrade; threat actor stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
cve report,ongoing cve degraded; suspicious login delayed at multiple sites; cve unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt report,exploit attempt degraded; intrusion unstable in a branch office; exploit attempt stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
unauthorized access alert,escalated because unauthorized access recurring; threat actor unstable in a branch office; unauthorized access erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware alert,users report ransomware intermittent; brute force failing in one department; ransomware stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
suspicious login case,noticed that suspicious login unstable; exploit attempt failing after the upgrade; suspicious login degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware issue,tracking ransomware delayed; phishing stalling in one department; ransomware recurring,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor alert,tracking threat actor failing; suspicious login degraded after the upgrade; threat actor intermittent,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability alert,tracking vulnerability flapping; credential theft degraded in a branch office; vulnerability erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
